סוג_מבנה,סוג_הזמנה,סוג_חיבור,חיבור_קיים,חיבור_מבוקש,גודל_חיבור,התקנת_מונים,גודל_חיבור_ציבורי,מספר_יחידות,עלות_הזמנה,עלות_חפירה,עלות_בדיקת_מתקן,סהכ_לפני_מעמ,מעמ,סהכ_כולל,endpoint
מגורים,הגדלת חיבור קיים,,3X100,3X200,,,,,13575.03,0.00,545.35,14120.38,2541.67,16662.05,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X100,3X250,,,,,19852.85,0.00,545.35,20398.20,3671.68,24069.88,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X100,3X315,,,,,28017.65,0.00,545.35,28563.00,5141.34,33704.34,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X100,3X400,,,,,38722.61,0.00,545.35,39267.96,7068.23,46336.20,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X100,3X500,,,,,51241.97,0.00,545.35,51787.32,9321.72,61109.04,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X100,3X630,,,,,67571.57,0.00,545.35,68116.92,12261.05,80377.97,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X100,3X800,,,,,88800.05,0.00,545.35,89345.40,16082.17,105427.57,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X125,3X160,,,,,5410.23,0.00,545.35,5955.58,1072.00,7027.58,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X125,3X200,,,,,10436.12,0.00,545.35,10981.47,1976.66,12958.13,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X125,3X250,,,,,16713.94,0.00,545.35,17259.29,3106.67,20365.96,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X125,3X315,,,,,24878.74,0.00,545.35,25424.09,4576.34,30000.43,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X125,3X400,,,,,35583.70,0.00,545.35,36129.05,6503.23,42632.28,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X125,3X500,,,,,48103.06,0.00,545.35,48648.41,8756.71,57405.12,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X125,3X630,,,,,64432.66,0.00,545.35,64978.01,11696.04,76674.05,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X125,3X800,,,,,85661.14,0.00,545.35,86206.49,15517.17,101723.66,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X160,3X200,,,,,6045.27,0.00,545.35,6590.62,1186.31,7776.93,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X160,3X250,,,,,12323.09,0.00,545.35,12868.44,2316.32,15184.76,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X160,3X315,,,,,20487.89,0.00,545.35,21033.24,3785.98,24819.23,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X160,3X400,,,,,31192.85,0.00,545.35,31738.20,5712.88,37451.08,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X160,3X500,,,,,43712.21,0.00,545.35,44257.56,7966.36,52223.92,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X160,3X630,,,,,60041.81,0.00,545.35,60587.16,10905.69,71492.85,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X160,3X800,,,,,81270.29,0.00,545.35,81815.64,14726.82,96542.46,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X200,3X250,,,,,7297.20,0.00,545.35,7842.55,1411.66,9254.21,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X200,3X315,,,,,15462.00,0.00,545.35,16007.35,2881.32,18888.68,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X200,3X400,,,,,26166.96,0.00,545.35,26712.31,4808.22,31520.53,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X200,3X500,,,,,38686.32,0.00,545.35,39231.67,7061.70,46293.38,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X200,3X630,,,,,55015.92,0.00,545.35,55561.27,10001.03,65562.30,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X200,3X800,,,,,76244.40,0.00,545.35,76789.75,13822.16,90611.91,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X250,3X315,,,,,9184.18,0.00,545.35,9729.53,1751.32,11480.85,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X250,3X400,,,,,19889.14,0.00,545.35,20434.49,3678.21,24112.70,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X250,3X500,,,,,32408.50,0.00,545.35,32953.85,5931.69,38885.54,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X250,3X630,,,,,48738.10,0.00,545.35,49283.45,8871.02,58154.47,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X250,3X800,,,,,69966.58,0.00,545.35,70511.93,12692.15,83204.08,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X315,3X400,,,,,11724.34,0.00,545.35,12269.69,2208.54,14478.23,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X315,3X500,,,,,24243.70,0.00,545.35,24789.05,4462.03,29251.08,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X315,3X630,,,,,40573.30,0.00,545.35,41118.65,7401.36,48520.01,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X315,3X800,,,,,61801.78,0.00,545.35,62347.13,11222.48,73569.61,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X400,3X500,,,,,13538.74,0.00,545.35,14084.09,2535.14,16619.23,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X400,3X630,,,,,29868.34,0.00,545.35,30413.69,5474.46,35888.15,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X400,3X800,,,,,51096.82,0.00,545.35,51642.17,9295.59,60937.76,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X500,3X630,,,,,17348.98,0.00,545.35,17894.33,3220.98,21115.31,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X500,3X800,,,,,38577.46,0.00,545.35,39122.81,7042.11,46164.92,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,3X630,3X800,,,,,22247.86,0.00,545.35,22793.21,4102.78,26895.99,sumExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X25,1X35,,,,,1751.64,0.00,545.35,2296.99,413.46,2710.45,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X25,1X40,,,,,3350.70,0.00,545.35,3896.05,701.29,4597.33,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X25,3X25,,,,,3350.70,0.00,545.35,3896.05,701.29,4597.33,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X25,3X35,,,,,4549.98,0.00,545.35,5095.33,917.16,6012.49,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X25,3X40,,,,,5158.32,0.00,545.35,5703.67,1026.66,6730.33,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X25,3X50,,,,,7487.15,0.00,545.35,8032.50,1445.85,9478.35,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X25,3X63,,,,,8981.96,0.00,545.35,9527.31,1714.92,11242.23,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X25,3X80,,,,,10925.22,0.00,545.35,11470.57,2064.70,13535.27,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X25,3X100,,,,,13233.87,0.00,545.35,13779.22,2480.26,16259.47,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X25,3X125,,,,,16107.22,0.00,545.35,16652.57,2997.46,19650.04,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X25,3X160,,,,,20126.60,0.00,545.35,20671.95,3720.95,24392.90,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X25,3X200,,,,,25782.61,3343.55,545.35,29671.51,5340.87,35012.38,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X25,3X250,,,,,30125.95,3343.55,545.35,34014.85,6122.67,40137.52,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X25,3X315,,,,,35774.80,3343.55,545.35,39663.70,7139.47,46803.16,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X25,3X400,,,,,43181.07,3343.55,545.35,47069.97,8472.59,55542.56,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X25,3X500,,,,,51842.64,3343.55,545.35,55731.54,10031.68,65763.21,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X25,3X630,,,,,63140.34,3343.55,545.35,67029.24,12065.26,79094.50,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X25,3X800,,,,,77827.35,3343.55,545.35,81716.25,14708.92,96425.17,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X35,1X40,,,,,2950.93,0.00,545.35,3496.28,629.33,4125.61,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X35,3X25,,,,,2950.93,0.00,545.35,3496.28,629.33,4125.61,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X35,3X35,,,,,4150.22,0.00,545.35,4695.57,845.20,5540.77,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X35,3X40,,,,,4758.56,0.00,545.35,5303.91,954.70,6258.61,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X35,3X50,,,,,7105.15,0.00,545.35,7650.50,1377.09,9027.58,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X35,3X63,,,,,8599.95,0.00,545.35,9145.31,1646.15,10791.46,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X35,3X80,,,,,10543.21,0.00,545.35,11088.56,1995.94,13084.50,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X35,3X100,,,,,12851.86,0.00,545.35,13397.21,2411.50,15808.71,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X35,3X125,,,,,15725.22,0.00,545.35,16270.57,2928.70,19199.27,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X35,3X160,,,,,19744.59,0.00,545.35,20289.94,3652.19,23942.13,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X35,3X200,,,,,25493.89,3343.55,545.35,29382.79,5288.90,34671.69,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X35,3X250,,,,,29837.23,3343.55,545.35,33726.13,6070.70,39796.83,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X35,3X315,,,,,35486.08,3343.55,545.35,39374.98,7087.50,46462.47,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X35,3X400,,,,,42892.35,3343.55,545.35,46781.25,8420.62,55201.87,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X35,3X500,,,,,51553.92,3343.55,545.35,55442.82,9979.71,65422.52,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X35,3X630,,,,,62851.62,3343.55,545.35,66740.52,12013.29,78753.81,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X35,3X800,,,,,77538.63,3343.55,545.35,81427.53,14656.95,96084.48,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X40,3X25,,,,,1351.88,0.00,545.35,1897.23,341.50,2238.73,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X40,3X35,,,,,2551.17,0.00,545.35,3096.52,557.37,3653.89,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X40,3X40,,,,,3159.50,0.00,545.35,3704.85,666.87,4371.73,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X40,3X50,,,,,5577.12,0.00,545.35,6122.47,1102.04,7224.51,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X40,3X63,,,,,7071.93,0.00,545.35,7617.28,1371.11,8988.39,sumIndustriealExtensionOfExsiting
